Strain,Dye,Spore_number,Measurement,Value
UM14,Lactic acid,22,width,2.36
UM14,Lactic acid,23,width,2.46
UM14,Lactic acid,24,width,2.63
UM14,Lactic acid,25,width,2.39
VF11,Lactic acid,1,width,2.99
VF11,Lactic acid,2,width,3.03
VF11,Lactic acid,3,width,2.62
VF11,Lactic acid,4,width,2.36
VF11,Lactic acid,5,width,2.96
VF11,Lactic acid,6,width,3.54
VF11,Lactic acid,7,width,3.11
VF11,Lactic acid,8,width,2.87
VF11,Lactic acid,9,width,2.81
VF11,Lactic acid,10,width,2.85
VF11,Lactic acid,11,width,2.64
VF11,Lactic acid,12,width,2.45
VF11,Lactic acid,13,width,2.64
VF11,Lactic acid,14,width,3.09
VF11,Lactic acid,15,width,2.45
VF11,Lactic acid,16,width,2.45
VF11,Lactic acid,17,width,2.82
VF11,Lactic acid,18,width,2.7
VF11,Lactic acid,19,width,2.63
VF11,Lactic acid,20,width,2.54
VF11,Lactic acid,21,width,2.92
VF11,Lactic acid,22,width,2.57
VF11,Lactic acid,23,width,2.65
VF11,Lactic acid,24,width,2.7
VF11,Lactic acid,25,width,2.67
VF41,Lactic acid,1,width,2.05
VF41,Lactic acid,2,width,2.12
VF41,Lactic acid,3,width,2.14
VF41,Lactic acid,4,width,2.15
VF41,Lactic acid,5,width,2.23
VF41,Lactic acid,6,width,2.23
VF41,Lactic acid,7,width,2.26
VF41,Lactic acid,8,width,2.26
VF41,Lactic acid,9,width,2.27
VF41,Lactic acid,10,width,2.28
VF41,Lactic acid,11,width,2.31
VF41,Lactic acid,12,width,2.37
VF41,Lactic acid,13,width,2.38
VF41,Lactic acid,14,width,2.41
VF41,Lactic acid,15,width,2.45
VF41,Lactic acid,16,width,2.45
VF41,Lactic acid,17,width,2.46
VF41,Lactic acid,18,width,2.47
VF41,Lactic acid,19,width,2.48
VF41,Lactic acid,20,width,2.5
VF41,Lactic acid,21,width,2.51
VF41,Lactic acid,22,width,2.53
VF41,Lactic acid,23,width,2.56
VF41,Lactic acid,24,width,2.67
VF41,Lactic acid,25,width,2.83
