Strain,Dye,Spore number,Measurement,Value
VF 11,Lactic acid,17,width,1.57
VF 11,Lactic acid,18,length,5.38
VF 11,Lactic acid,18,width,1.29
VF 11,Lactic acid,19,length,5.36
VF 11,Lactic acid,19,width,1.08
VF 11,Lactic acid,20,length,5.37
VF 11,Lactic acid,20,width,1.89
VF 11,Lactic acid,21,length,4.93
VF 11,Lactic acid,21,width,1.72
VF 11,Lactic acid,22,length,6.05
VF 11,Lactic acid,22,width,1.73
VF 11,Lactic acid,23,length,6.05
VF 11,Lactic acid,23,width,1.31
VF 11,Lactic acid,24,length,5.66
VF 11,Lactic acid,24,width,1.64
VF 11,Lactic acid,25,length,5.47
VF 11,Lactic acid,25,width,2.09
UM 11,Lactic acid,1,length,5.46
UM 11,Lactic acid,1,width,1.51
UM 11,Lactic acid,2,length,5.21
UM 11,Lactic acid,2,width,1.33
UM 11,Lactic acid,3,length,5.63
UM 11,Lactic acid,3,width,1.35
UM 11,Lactic acid,4,length,5.35
UM 11,Lactic acid,4,width,1.63
UM 11,Lactic acid,5,length,5.69
UM 11,Lactic acid,5,width,1.44
UM 11,Lactic acid,6,length,5.25
UM 11,Lactic acid,6,width,1.96
UM 11,Lactic acid,7,length,5.52
UM 11,Lactic acid,7,width,1.58
UM 11,Lactic acid,8,length,5.54
UM 11,Lactic acid,8,width,1.58
UM 11,Lactic acid,9,length,5.58
UM 11,Lactic acid,9,width,1.54
UM 11,Lactic acid,10,length,6.7
UM 11,Lactic acid,10,width,1.76
UM 11,Lactic acid,11,length,6.23
UM 11,Lactic acid,11,width,1.53
UM 11,Lactic acid,12,length,4.99
UM 11,Lactic acid,12,width,1.37
UM 11,Lactic acid,13,length,6.13
UM 11,Lactic acid,13,width,1.39
UM 11,Lactic acid,14,length,5.25
UM 11,Lactic acid,14,width,1.6
UM 11,Lactic acid,15,length,6.56
UM 11,Lactic acid,15,width,1.86
UM 11,Lactic acid,16,length,5.64
UM 11,Lactic acid,16,width,1.62
UM 11,Lactic acid,17,length,6.22
UM 11,Lactic acid,17,width,1.64
UM 11,Lactic acid,18,length,5.41
UM 11,Lactic acid,18,width,1.54
UM 11,Lactic acid,19,length,6.46
UM 11,Lactic acid,19,width,1.89
UM 11,Lactic acid,20,length,5.12
UM 11,Lactic acid,20,width,1.58
UM 11,Lactic acid,21,length,5.62
UM 11,Lactic acid,21,width,1.74
UM 11,Lactic acid,22,length,5.81
UM 11,Lactic acid,22,width,1.82
UM 11,Lactic acid,23,length,6.68
UM 11,Lactic acid,23,width,1.57
UM 11,Lactic acid,24,length,6.05
UM 11,Lactic acid,24,width,1.59
UM 11,Lactic acid,25,length,4.81
UM 11,Lactic acid,25,width,1.59
BAF 11,Lactic acid,1,length,7.28
BAF 11,Lactic acid,1,width,1.64
BAF 11,Lactic acid,2,length,5.64
BAF 11,Lactic acid,2,width,1.6
BAF 11,Lactic acid,3,length,5.39
BAF 11,Lactic acid,3,width,1.39
BAF 11,Lactic acid,4,length,5.96
BAF 11,Lactic acid,4,width,2.08
BAF 11,Lactic acid,5,length,6.03
BAF 11,Lactic acid,5,width,1.69
BAF 11,Lactic acid,6,length,6.13
BAF 11,Lactic acid,6,width,1.94
BAF 11,Lactic acid,7,length,5.56
BAF 11,Lactic acid,7,width,1.72
BAF 11,Lactic acid,8,length,5.41
BAF 11,Lactic acid,8,width,1.53
BAF 11,Lactic acid,9,length,6.34
BAF 11,Lactic acid,9,width,1.49
BAF 11,Lactic acid,10,length,5.71
BAF 11,Lactic acid,10,width,1.35
BAF 11,Lactic acid,11,length,6.44
BAF 11,Lactic acid,11,width,1.66
BAF 11,Lactic acid,12,length,5.71
BAF 11,Lactic acid,12,width,1.47
BAF 11,Lactic acid,13,length,6.42
BAF 11,Lactic acid,13,width,1.8
BAF 11,Lactic acid,14,length,5.96
BAF 11,Lactic acid,14,width,1.58
BAF 11,Lactic acid,15,length,5.89
BAF 11,Lactic acid,15,width,1.56
BAF 11,Lactic acid,16,length,6.67
BAF 11,Lactic acid,16,width,1.74
BAF 11,Lactic acid,17,length,5.57
BAF 11,Lactic acid,17,width,1.56
BAF 11,Lactic acid,18,length,6.19
BAF 11,Lactic acid,18,width,1.57
BAF 11,Lactic acid,19,length,5.69
BAF 11,Lactic acid,19,width,1.46
BAF 11,Lactic acid,20,length,6.32
BAF 11,Lactic acid,20,width,1.49
BAF 11,Lactic acid,21,length,6.18
BAF 11,Lactic acid,21,width,1.64
BAF 11,Lactic acid,22,length,5.58
BAF 11,Lactic acid,22,width,1.71
BAF 11,Lactic acid,23,length,5.81
BAF 11,Lactic acid,23,width,1.68
BAF 11,Lactic acid,24,length,5.98
BAF 11,Lactic acid,24,width,1.49
BAF 11,Lactic acid,25,length,5.4
BAF 11,Lactic acid,25,width,1.77
